name	eff-length	est_frags
ENST00000456328.2	1457.0	3.48541494327152e-26
ENST00000450305.2	432.0	2.9164800211744143e-28
ENST00000488147.1	1151.0	1.8035733434518753e-06
ENST00000473358.1	512.0	7.218502028206337e-08
ENST00000466430.5	2548.0	4.750801336531179e-09
ENST00000471248.1	429.0	2.7498680395254006e-15
ENST00000495576.1	1119.0	1.0929277565936425e-08
ENST00000484859.1	4660.0	6.306998477610857e-09
ENST00000624431.2	370.0	3.401072063497058e-28
ENST00000623083.4	1197.0	1.926673203177834e-06
ENST00000448958.2	2050.0	5.919344343982999e-09
ENST00000441866.2	2056.0	5.9018549244352476e-09
ENST00000634344.2	1354.0	9.019606894261346e-09
ENST00000424587.7	5403.0	2.2285087687567114e-09
ENST00000455464.7	702.0	0.0
ENST00000432723.3	2277.0	0.0
ENST00000357876.6	1502.0	3.2948800204305604e-16
ENST00000441245.5	429.0	5.523258231048286e-14
ENST00000434264.6	644.0	1.7000302934953237e-11
ENST00000585826.1	190.0	4.896535927385723e-08
ENST00000592547.1	408.0	9.338034511758124e-08
ENST00000448179.1	2843.0	9.503603088248942e-15
ENST00000398216.2	243.0	1.2512586592551482e-20
ENST00000483767.5	1411.0	1.414904614559381e-13
ENST00000327044.6	2590.0	0.0
ENST00000477976.5	4001.0	3.073455192044745e-19
ENST00000492947.1	490.0	1.8497504635075485e-17
ENST00000456409.5	550.0	0.0
ENST00000379319.5	897.0	0.0
ENST00000482816.5	782.0	0.0
ENST00000379317.1	3332.0	1.0031940013006061e-18
ENST00000506177.1	357.0	1.5049904061996533e-18
ENST00000565563.1	1358.0	9.032911275885802e-19
ENST00000438966.1	65.0	0.0
ENST00000463758.1	740.0	0.0
ENST00000470030.6	2169.0	1.54660491870728e-08
ENST00000540437.5	2429.0	1.3764146525295256e-08
ENST00000545578.5	2063.0	1.6286953707124224e-08
ENST00000620829.4	1662.0	2.0377394847658313e-08
ENST00000618806.4	1323.0	2.5865150898636648e-08
ENST00000435064.5	1948.0	1.7282017542964574e-08
ENST00000497304.6	732.0	4.8654581720565796e-08
